Date,PX_LAST,PX_VOLUME
3/1/2018,31.35,5744042
2/28/2018,31.53,2967050
2/27/2018,31.735,2610590
2/26/2018,31.78,2401968
2/23/2018,31.5,2527222
2/22/2018,31.62,2814829
2/21/2018,31.365,2213289
2/20/2018,31.225,3772261
2/19/2018,31.07,3122899
2/16/2018,31.52,3717781
2/15/2018,31.07,3170172
2/14/2018,30.705,4116059
2/13/2018,30.01,3259928
2/12/2018,30.245,5408027
2/9/2018,29.63,9345798
2/8/2018,30.245,6836113
2/7/2018,30.8,5677990
2/6/2018,30.45,8378364
2/5/2018,31.385,4474295
2/2/2018,31.985,4533630
2/1/2018,32.77,4109134
1/31/2018,32.86,4250336
1/30/2018,32.65,6741203
1/29/2018,33.895,2419218
1/26/2018,33.625,1931303
1/25/2018,33.4,2698683
1/24/2018,33.29,2598456
1/23/2018,33.355,2149571
1/22/2018,33.32,2004685
1/19/2018,33.585,3549535
1/18/2018,32.835,2357069
1/17/2018,32.8,3618162
1/16/2018,33.25,2186989
1/15/2018,33,1529751
1/12/2018,33.42,2402637
1/11/2018,33.165,2402702
1/10/2018,33.145,2755596
1/9/2018,33.22,2099618
1/8/2018,33.15,2361048
1/5/2018,32.91,2854372
1/4/2018,32.28,3916839
1/3/2018,31.535,2482728
1/2/2018,31.325,2667537
